date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:18	1575/1575	---MCZ	200	added ('OK')	text/css	etag:W/%225bf8e02b-627%22	https://mcoach.in/wp-content/themes/oceanwp/assets/css/third/slick.min.css	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/themes/oceanwp/assets/css/third/slick.min.css	(from https://mcoach.in/prodiva-landing-page/)
16:03:19	155622/155622	---MCZ	200	added ('OK')	text/css	etag:W/%225bf8e02b-25fe6%22	https://mcoach.in/wp-content/themes/oceanwp/assets/css/style.min.css	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/themes/oceanwp/assets/css/style.min.css	(from https://mcoach.in/prodiva-landing-page/)
16:03:19	283/283	---M--	200	added ('OK')	text/css	etag:%225bf939cc-11b%22	https://mcoach.in/wp-content/cache/wmac/css/wmac_single_9c31b48bd0b4d3b8b0b6952a993f5161.css	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/cache/wmac/css/wmac_single_9c31b48bd0b4d3b8b0b6952a993f5161.css	(from https://mcoach.in/prodiva-landing-page/)
16:03:19	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Nov%202018%2010:33:18%20GMT	http://mcoach.in/wp-content/uploads/sass/a3_lazy_load.min.css	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/uploads/sass/a3_lazy_load.min.11.delayed	(from https://mcoach.in/prodiva-landing-page/)
16:03:19	127/127	---M--	200	added ('OK')	text/css	etag:%225bf8f21b-7f%22	https://mcoach.in/wp-content/uploads/sass/a3_lazy_load.min.css	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/uploads/sass/a3_lazy_load.min.css	(from https://mcoach.in/prodiva-landing-page/)
16:03:20	36963/36963	---MCZ	200	added ('OK')	text/css	etag:W/%225bf939cc-9063%22	https://mcoach.in/wp-content/cache/wmac/css/wmac_single_7f0ffdba502a89a04e625623bff6976d.css	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/cache/wmac/css/wmac_single_7f0ffdba502a89a04e625623bff6976d.css	(from https://mcoach.in/prodiva-landing-page/)
16:03:20	325431/325431	---MCZ	200	added ('OK')	text/css	etag:W/%225bfe341e-4f737%22	https://mcoach.in/wp-content/cache/wmac/css/wmac_single_b68222a62d25704f82a7a07be99a7b3c.css	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/cache/wmac/css/wmac_single_b68222a62d25704f82a7a07be99a7b3c.css	(from https://mcoach.in/prodiva-landing-page/)
16:03:20	26726/26726	---MCZ	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2001:03:44%20GMT	https://c0.wp.com/p/jetpack/6.8/_inc/social-logos/social-logos.min.css	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/c0.wp.com/p/jetpack/6.8/_inc/social-logos/social-logos.min.css	(from https://mcoach.in/prodiva-landing-page/)
16:03:21	69218/69218	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Nov%202018%2021:29:12%20GMT	https://c0.wp.com/p/jetpack/6.8/css/jetpack.css	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/c0.wp.com/p/jetpack/6.8/css/jetpack.css	(from https://mcoach.in/prodiva-landing-page/)
16:03:22	97184/97184	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2023%20May%202016%2009:00:29%20GMT	https://c0.wp.com/c/4.9.8/wp-includes/js/jquery/jquery.js	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/c0.wp.com/c/4.9.8/wp-includes/js/jquery/jquery.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:22	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2006:11:28%20GMT	https://c0.wp.com/c/4.9.8/wp-includes/js/jquery/jquery-migrate.min.js	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/c0.wp.com/c/4.9.8/wp-includes/js/jquery/jquery-migrate.min.js	(from https://mcoach.in/prodiva-landing-page/)
